NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,road_lengt,road_count,len_dens,road_dens,traffic_am,traf_dens,junc_amt,junc_dens,sumjunc_co,buff_dens,transit_am,trans_dens,tree_cnt,tree_dens,bkjnc_amt,bkjnc_dens,acc_amt,acc_dens
Chessington South,E05000405,755.173,0.000,E09000021,Kingston upon Thames,50840,38484.490744732967869,463.000000000000000,50.9612,0.6131,43068,57.0306,245,0.3244,674.0000000000000000,0.8925,47,0.0622,91,0.1205,18,0.0238,23,0.0305
Tolworth and Hook Rise,E05000414,259.464,0.000,E09000021,Kingston upon Thames,117160,31196.917856573789322,331.000000000000000,120.2360,1.2757,225717,869.9357,170,0.6552,597.0000000000000000,2.3009,21,0.0809,53,0.2043,20,0.0771,21,0.0809
Berrylands,E05000401,145.390,0.000,E09000021,Kingston upon Thames,50449,19631.396026374019129,208.000000000000000,135.0258,1.4306,1618,11.1287,106,0.7291,262.0000000000000000,1.8020,24,0.1651,0,0.0000,5,0.0344,9,0.0619
Alexandra,E05000400,268.506,0.000,E09000021,Kingston upon Thames,50456,29485.084687441165443,300.000000000000000,109.8116,1.1173,177625,661.5308,165,0.6145,462.0000000000000000,1.7206,38,0.1415,74,0.2756,18,0.0670,9,0.0335
Beverley,E05000402,187.821,0.000,E09000021,Kingston upon Thames,117161,20609.220105015301669,226.000000000000000,109.7280,1.2033,0,0.0000,108,0.5750,293.0000000000000000,1.5600,28,0.1491,0,0.0000,12,0.0639,14,0.0745
Coombe Hill,E05000406,442.170,0.000,E09000021,Kingston upon Thames,117159,41186.836241609351418,434.000000000000000,93.1471,0.9815,338530,765.6105,222,0.5021,647.0000000000000000,1.4632,55,0.1244,64,0.1447,17,0.0384,31,0.0701
Chessington North and Hook,E05000404,192.980,0.000,E09000021,Kingston upon Thames,50530,25311.492451717542281,309.000000000000000,131.1612,1.6012,126140,653.6429,163,0.8446,564.0000000000000000,2.9226,24,0.1244,39,0.2021,1,0.0052,7,0.0363
Surbiton Hill,E05000413,166.482,0.000,E09000021,Kingston upon Thames,50457,24143.536161842039292,331.000000000000000,145.0219,1.9882,51934,311.9496,168,1.0091,477.0000000000000000,2.8652,33,0.1982,0,0.0000,5,0.0300,24,0.1442
Old Malden,E05000410,180.016,0.000,E09000021,Kingston upon Thames,50455,24940.682747796945478,266.000000000000000,138.5470,1.4776,21032,116.8341,140,0.7777,378.0000000000000000,2.0998,40,0.2222,2,0.0111,1,0.0056,25,0.1389
St. Mark's,E05000412,137.578,0.000,E09000021,Kingston upon Thames,50450,19045.628068476711633,240.000000000000000,138.4351,1.7445,27698,201.3258,127,0.9231,312.0000000000000000,2.2678,33,0.2399,0,0.0000,3,0.0218,10,0.0727
Grove,E05000408,192.034,0.000,E09000021,Kingston upon Thames,50458,29273.274145013754605,437.000000000000000,152.4380,2.2756,230085,1198.1472,227,1.1821,690.0000000000000000,3.5931,93,0.4843,0,0.0000,51,0.2656,64,0.3333
Canbury,E05000403,124.241,0.000,E09000021,Kingston upon Thames,51118,20603.453781106298266,251.000000000000000,165.8346,2.0203,127426,1025.6357,132,1.0625,335.0000000000000000,2.6964,22,0.1771,0,0.0000,14,0.1127,24,0.1932
Norbiton,E05000409,134.711,0.000,E09000021,Kingston upon Thames,50451,18408.678013975033537,217.000000000000000,136.6531,1.6109,68896,511.4356,115,0.8537,312.0000000000000000,2.3161,26,0.1930,0,0.0000,10,0.0742,29,0.2153
Coombe Vale,E05000407,164.710,0.000,E09000021,Kingston upon Thames,50452,22897.438013912280439,260.000000000000000,139.0167,1.5785,17860,108.4330,134,0.8136,285.0000000000000000,1.7303,12,0.0729,0,0.0000,1,0.0061,14,0.0850
