count_pca_kmeans_cluster,Ward,GSS
3,Chessington South,E05000405
1,Tolworth and Hook Rise,E05000414
2,Berrylands,E05000401
1,Alexandra,E05000400
2,Beverley,E05000402
0,Coombe Hill,E05000406
1,Chessington North and Hook,E05000404
1,Surbiton Hill,E05000413
1,Old Malden,E05000410
1,St. Mark's,E05000412
0,Grove,E05000408
1,Canbury,E05000403
1,Norbiton,E05000409
2,Coombe Vale,E05000407
1,St. James,E05000411
1,Tudor,E05000415
3,Coulsdon East,E05000150
3,Selsdon and Ballards,E05000162
0,Coulsdon West,E05000151
0,Waddon,E05000167
3,Kenley,E05000156
0,Purley,E05000159
3,Sanderstead,E05000160
0,Heathfield,E05000155
0,Fairfield,E05000153
3,Broad Green,E05000149
3,West Thornton,E05000168
2,Bensham Manor,E05000148
3,Norbury,E05000158
2,New Addington,E05000157
3,Croham,E05000152
2,Fieldway,E05000154
3,Shirley,E05000163
3,Selhurst,E05000161
3,Ashburton,E05000147
3,Woodside,E05000169
2,Thornton Heath,E05000165
3,Upper Norwood,E05000166
3,South Norwood,E05000164
2,Addiscombe,E05000146
0,Darwin,E05000117
0,Hayes and Coney Hall,E05000119
0,Bromley Common and Keston,E05000108
0,Chelsfield and Pratts Bottom,E05000110
3,Biggin Hill,E05000107
3,West Wickham,E05000127
3,Clock House,E05000112
0,Kelsey and Eden Park,E05000120
0,Farnborough and Crofton,E05000118
3,Shortlands,E05000126
0,Bromley Town,E05000109
0,Bickley,E05000106
3,Petts Wood and Knoll,E05000124
3,Crystal Palace,E05000116
3,Penge and Cator,E05000123
3,Copers Cope,E05000113
3,Plaistow and Sundridge,E05000125
0,Chislehurst,E05000111
2,Mottingham and Chislehurst North,E05000121
0,Orpington,E05000122
0,Cray Valley West,E05000115
0,Cray Valley East,E05000114
3,Bedfont,E05000346
0,Hanworth,E05000353
0,Cranford,E05000350
3,Syon,E05000364
0,Heston West,E05000357
1,Heston East,E05000356
0,Osterley and Spring Grove,E05000363
0,Brentford,E05000347
1,Chiswick Homefields,E05000348
3,Feltham West,E05000352
3,Hanworth Park,E05000354
3,Feltham North,E05000351
1,Hounslow Heath,E05000359
3,Hounslow West,E05000361
1,Heston Central,E05000355
3,Hounslow South,E05000360
1,Isleworth,E05000362
1,Hounslow Central,E05000358
1,Chiswick Riverside,E05000349
3,Turnham Green,E05000365
3,Norwood Green,E05000186
3,Southall Green,E05000190
3,Northolt West End,E05000185
3,Dormers Wells,E05000172
3,Greenford Broadway,E05000177
3,North Greenford,E05000183
2,Northfield,E05000182
0,East Acton,E05000175
2,Southall Broadway,E05000189
3,Elthorne,E05000176
3,Walpole,E05000192
0,Lady Margaret,E05000181
3,Northolt Mandeville,E05000184
3,Hobbayne,E05000180
3,Cleveland,E05000171
0,Greenford Green,E05000178
0,Perivale,E05000187
3,Ealing Common,E05000174
3,Ealing Broadway,E05000173
3,South Acton,E05000188
3,Southfield,E05000191
2,Acton Central,E05000170
0,Hanger Hill,E05000179
0,Upminster,E05000323
0,Rainham and Wennington,E05000318
0,South Hornchurch,E05000321
3,Elm Park,E05000308
3,Brooklands,E05000306
0,Romford Town,E05000319
3,Mawneys,E05000316
3,Pettits,E05000317
3,Hacton,E05000311
3,St. Andrew's,E05000320
3,Emerson Park,E05000309
3,Squirrel's Heath,E05000322
0,Harold Wood,E05000312
3,Cranham,E05000307
3,Havering Park,E05000313
3,Heaton,E05000314
0,Gooshays,E05000310
3,Hylands,E05000315
4,Heathrow Villages,E05000331
3,Harefield,E05000330
3,West Drayton,E05000342
3,Yiewsley,E05000345
3,Uxbridge South,E05000341
3,Brunel,E05000326
0,Uxbridge North,E05000340
3,Hillingdon East,E05000332
0,Ickenham,E05000333
3,West Ruislip,E05000343
3,Northwood,E05000335
0,South Ruislip,E05000338
3,Manor,E05000334
3,Eastcote and East Ruislip,E05000329
3,Northwood Hills,E05000336
3,Pinkwell,E05000337
0,Botwell,E05000325
1,Charville,E05000328
3,Townfield,E05000339
3,Barnhill,E05000324
3,Yeading,E05000344
3,Cavendish,E05000327
2,Roxeth,E05000302
3,Harrow on the Hill,E05000289
3,Pinner,E05000297
1,Pinner South,E05000298
3,Greenhill,E05000288
3,Headstone North,E05000292
1,Marlborough,E05000296
3,Harrow Weald,E05000290
3,Stanmore Park,E05000303
0,Canons,E05000286
3,Rayners Lane,E05000300
3,Roxbourne,E05000301
2,West Harrow,E05000305
3,Hatch End,E05000291
2,Headstone South,E05000293
2,Kenton West,E05000295
2,Wealdstone,E05000304
2,Belmont,E05000285
2,Kenton East,E05000294
3,Queensbury,E05000299
2,Edgware,E05000287
3,Northwick Park,E05000096
2,Wembley Central,E05000104
3,Preston,E05000097
0,Stonebridge,E05000100
3,Welsh Harp,E05000103
3,Barnhill,E05000086
3,Fryent,E05000090
3,Sudbury,E05000101
3,Alperton,E05000085
2,Kensal Green,E05000092
2,Harlesden,E05000091
2,Willesden Green,E05000105
2,Queens Park,E05000098
2,Brondesbury Park,E05000087
2,Kilburn,E05000094
3,Tokyngton,E05000102
3,Kenton,E05000093
3,Dudden Hill,E05000089
2,Dollis Hill,E05000088
2,Mapesbury,E05000095
3,Queensbury,E05000099
3,Underhill,E05000060
0,High Barnet,E05000056
0,West Hendon,E05000062
3,Golders Green,E05000053
3,Colindale,E05000046
3,Childs Hill,E05000045
0,Garden Suburb,E05000052
0,Finchley Church End,E05000051
3,East Finchley,E05000049
0,Edgware,E05000050
0,Mill Hill,E05000057
0,Hale,E05000054
0,Totteridge,E05000059
0,Oakleigh,E05000058
3,Woodhouse,E05000063
3,Coppetts,E05000047
3,Brunswick Park,E05000043
3,East Barnet,E05000048
3,Burnt Oak,E05000044
0,Hendon,E05000055
3,West Finchley,E05000061
1,Streatham South,E05000431
1,St. Leonard's,E05000428
1,Streatham Wells,E05000432
3,Knight's Hill,E05000424
1,Thornton,E05000433
1,Streatham Hill,E05000430
1,Clapham Common,E05000418
1,Brixton Hill,E05000417
1,Tulse Hill,E05000435
1,Coldharbour,E05000420
1,Ferndale,E05000421
1,Larkhall,E05000425
1,Oval,E05000426
1,Vassall,E05000436
1,Gipsy Hill,E05000422
1,Thurlow Park,E05000434
1,Herne Hill,E05000423
3,Bishop's,E05000416
1,Clapham Town,E05000419
1,Stockwell,E05000429
1,Prince's,E05000427
1,College,E05000538
1,Riverside,E05000548
1,Village,E05000554
1,South Camberwell,E05000551
1,East Dulwich,E05000539
1,Peckham Rye,E05000547
1,Camberwell Green,E05000535
1,Brunswick Park,E05000534
1,The Lane,E05000553
1,Nunhead,E05000545
1,Peckham,E05000546
1,Newington,E05000544
1,Faraday,E05000541
1,East Walworth,E05000540
1,Livesey,E05000543
1,South Bermondsey,E05000550
0,Cathedrals,E05000536
1,Grange,E05000542
1,Rotherhithe,E05000549
1,Surrey Docks,E05000552
1,Chaucer,E05000537
3,Bellingham,E05000437
1,Telegraph Hill,E05000453
1,Downham,E05000442
3,Whitefoot,E05000454
3,Blackheath,E05000438
1,Sydenham,E05000452
1,Forest Hill,E05000444
1,Perry Vale,E05000450
1,Rushey Green,E05000451
1,Catford South,E05000440
1,Crofton Park,E05000441
1,Ladywell,E05000446
3,Lewisham Central,E05000448
1,Brockley,E05000439
1,New Cross,E05000449
3,Grove Park,E05000445
1,Lee Green,E05000447
1,Evelyn,E05000443
3,Middle Park and Sutcliffe,E05000224
3,Coldharbour and New Eltham,E05000217
3,Eltham South,E05000219
3,Shooters Hill,E05000227
0,Peninsula,E05000225
3,Woolwich Riverside,E05000230
3,Greenwich West,E05000222
3,Eltham West,E05000220
3,Blackheath Westcombe,E05000215
3,Kidbrooke with Hornfair,E05000223
