count_pca_brch_cluster,Ward,GSS
0,Chessington South,E05000405
2,Tolworth and Hook Rise,E05000414
2,Berrylands,E05000401
2,Alexandra,E05000400
2,Beverley,E05000402
0,Coombe Hill,E05000406
2,Chessington North and Hook,E05000404
4,Surbiton Hill,E05000413
4,Old Malden,E05000410
4,St. Mark's,E05000412
1,Grove,E05000408
2,Canbury,E05000403
4,Norbiton,E05000409
2,Coombe Vale,E05000407
2,St. James,E05000411
4,Tudor,E05000415
0,Coulsdon East,E05000150
0,Selsdon and Ballards,E05000162
1,Coulsdon West,E05000151
0,Waddon,E05000167
0,Kenley,E05000156
0,Purley,E05000159
0,Sanderstead,E05000160
1,Heathfield,E05000155
1,Fairfield,E05000153
0,Broad Green,E05000149
0,West Thornton,E05000168
4,Bensham Manor,E05000148
0,Norbury,E05000158
0,New Addington,E05000157
0,Croham,E05000152
4,Fieldway,E05000154
0,Shirley,E05000163
0,Selhurst,E05000161
0,Ashburton,E05000147
4,Woodside,E05000169
4,Thornton Heath,E05000165
0,Upper Norwood,E05000166
0,South Norwood,E05000164
4,Addiscombe,E05000146
1,Darwin,E05000117
1,Hayes and Coney Hall,E05000119
1,Bromley Common and Keston,E05000108
1,Chelsfield and Pratts Bottom,E05000110
0,Biggin Hill,E05000107
0,West Wickham,E05000127
0,Clock House,E05000112
1,Kelsey and Eden Park,E05000120
1,Farnborough and Crofton,E05000118
0,Shortlands,E05000126
1,Bromley Town,E05000109
0,Bickley,E05000106
0,Petts Wood and Knoll,E05000124
0,Crystal Palace,E05000116
0,Penge and Cator,E05000123
0,Copers Cope,E05000113
0,Plaistow and Sundridge,E05000125
1,Chislehurst,E05000111
4,Mottingham and Chislehurst North,E05000121
1,Orpington,E05000122
1,Cray Valley West,E05000115
1,Cray Valley East,E05000114
0,Bedfont,E05000346
0,Hanworth,E05000353
1,Cranford,E05000350
2,Syon,E05000364
0,Heston West,E05000357
2,Heston East,E05000356
1,Osterley and Spring Grove,E05000363
1,Brentford,E05000347
2,Chiswick Homefields,E05000348
2,Feltham West,E05000352
0,Hanworth Park,E05000354
0,Feltham North,E05000351
0,Hounslow Heath,E05000359
2,Hounslow West,E05000361
0,Heston Central,E05000355
2,Hounslow South,E05000360
0,Isleworth,E05000362
0,Hounslow Central,E05000358
2,Chiswick Riverside,E05000349
0,Turnham Green,E05000365
