count_pca_hcl_cluster,Ward,GSS
1,Chessington South,E05000405
3,Tolworth and Hook Rise,E05000414
3,Berrylands,E05000401
3,Alexandra,E05000400
3,Beverley,E05000402
1,Coombe Hill,E05000406
3,Chessington North and Hook,E05000404
3,Surbiton Hill,E05000413
3,Old Malden,E05000410
3,St. Mark's,E05000412
0,Grove,E05000408
3,Canbury,E05000403
2,Norbiton,E05000409
3,Coombe Vale,E05000407
3,St. James,E05000411
3,Tudor,E05000415
1,Coulsdon East,E05000150
1,Selsdon and Ballards,E05000162
0,Coulsdon West,E05000151
1,Waddon,E05000167
1,Kenley,E05000156
1,Purley,E05000159
1,Sanderstead,E05000160
0,Heathfield,E05000155
0,Fairfield,E05000153
1,Broad Green,E05000149
1,West Thornton,E05000168
2,Bensham Manor,E05000148
1,Norbury,E05000158
1,New Addington,E05000157
1,Croham,E05000152
2,Fieldway,E05000154
1,Shirley,E05000163
1,Selhurst,E05000161
1,Ashburton,E05000147
2,Woodside,E05000169
2,Thornton Heath,E05000165
1,Upper Norwood,E05000166
1,South Norwood,E05000164
2,Addiscombe,E05000146
0,Darwin,E05000117
0,Hayes and Coney Hall,E05000119
0,Bromley Common and Keston,E05000108
0,Chelsfield and Pratts Bottom,E05000110
1,Biggin Hill,E05000107
1,West Wickham,E05000127
1,Clock House,E05000112
0,Kelsey and Eden Park,E05000120
0,Farnborough and Crofton,E05000118
1,Shortlands,E05000126
0,Bromley Town,E05000109
1,Bickley,E05000106
1,Petts Wood and Knoll,E05000124
1,Crystal Palace,E05000116
1,Penge and Cator,E05000123
1,Copers Cope,E05000113
1,Plaistow and Sundridge,E05000125
0,Chislehurst,E05000111
2,Mottingham and Chislehurst North,E05000121
0,Orpington,E05000122
0,Cray Valley West,E05000115
0,Cray Valley East,E05000114
1,Bedfont,E05000346
1,Hanworth,E05000353
0,Cranford,E05000350
1,Syon,E05000364
1,Heston West,E05000357
3,Heston East,E05000356
0,Osterley and Spring Grove,E05000363
0,Brentford,E05000347
3,Chiswick Homefields,E05000348
1,Feltham West,E05000352
1,Hanworth Park,E05000354
1,Feltham North,E05000351
1,Hounslow Heath,E05000359
1,Hounslow West,E05000361
1,Heston Central,E05000355
1,Hounslow South,E05000360
1,Isleworth,E05000362
1,Hounslow Central,E05000358
3,Chiswick Riverside,E05000349
1,Turnham Green,E05000365
1,Norwood Green,E05000186
1,Southall Green,E05000190
1,Northolt West End,E05000185
1,Dormers Wells,E05000172
1,Greenford Broadway,E05000177
1,North Greenford,E05000183
1,Northfield,E05000182
0,East Acton,E05000175
2,Southall Broadway,E05000189
1,Elthorne,E05000176
1,Walpole,E05000192
0,Lady Margaret,E05000181
1,Northolt Mandeville,E05000184
1,Hobbayne,E05000180
1,Cleveland,E05000171
1,Greenford Green,E05000178
0,Perivale,E05000187
1,Ealing Common,E05000174
1,Ealing Broadway,E05000173
1,South Acton,E05000188
1,Southfield,E05000191
2,Acton Central,E05000170
0,Hanger Hill,E05000179
0,Upminster,E05000323
0,Rainham and Wennington,E05000318
0,South Hornchurch,E05000321
1,Elm Park,E05000308
1,Brooklands,E05000306
0,Romford Town,E05000319
1,Mawneys,E05000316
1,Pettits,E05000317
1,Hacton,E05000311
1,St. Andrew's,E05000320
1,Emerson Park,E05000309
1,Squirrel's Heath,E05000322
0,Harold Wood,E05000312
1,Cranham,E05000307
1,Havering Park,E05000313
1,Heaton,E05000314
1,Gooshays,E05000310
1,Hylands,E05000315
4,Heathrow Villages,E05000331
1,Harefield,E05000330
1,West Drayton,E05000342
1,Yiewsley,E05000345
0,Uxbridge South,E05000341
1,Brunel,E05000326
0,Uxbridge North,E05000340
1,Hillingdon East,E05000332
1,Ickenham,E05000333
1,West Ruislip,E05000343
1,Northwood,E05000335
0,South Ruislip,E05000338
1,Manor,E05000334
1,Eastcote and East Ruislip,E05000329
1,Northwood Hills,E05000336
1,Pinkwell,E05000337
1,Botwell,E05000325
2,Charville,E05000328
0,Townfield,E05000339
1,Barnhill,E05000324
1,Yeading,E05000344
1,Cavendish,E05000327
2,Roxeth,E05000302
1,Harrow on the Hill,E05000289
1,Pinner,E05000297
1,Pinner South,E05000298
1,Greenhill,E05000288
1,Headstone North,E05000292
1,Marlborough,E05000296
1,Harrow Weald,E05000290
1,Stanmore Park,E05000303
1,Canons,E05000286
1,Rayners Lane,E05000300
1,Roxbourne,E05000301
3,West Harrow,E05000305
1,Hatch End,E05000291
2,Headstone South,E05000293
2,Kenton West,E05000295
2,Wealdstone,E05000304
2,Belmont,E05000285
2,Kenton East,E05000294
1,Queensbury,E05000299
2,Edgware,E05000287
1,Northwick Park,E05000096
2,Wembley Central,E05000104
1,Preston,E05000097
0,Stonebridge,E05000100
1,Welsh Harp,E05000103
1,Barnhill,E05000086
1,Fryent,E05000090
1,Sudbury,E05000101
1,Alperton,E05000085
2,Kensal Green,E05000092
2,Harlesden,E05000091
2,Willesden Green,E05000105
2,Queens Park,E05000098
2,Brondesbury Park,E05000087
2,Kilburn,E05000094
1,Tokyngton,E05000102
1,Kenton,E05000093
1,Dudden Hill,E05000089
1,Dollis Hill,E05000088
2,Mapesbury,E05000095
1,Queensbury,E05000099
1,Underhill,E05000060
0,High Barnet,E05000056
1,West Hendon,E05000062
1,Golders Green,E05000053
1,Colindale,E05000046
1,Childs Hill,E05000045
0,Garden Suburb,E05000052
1,Finchley Church End,E05000051
1,East Finchley,E05000049
1,Edgware,E05000050
0,Mill Hill,E05000057
1,Hale,E05000054
1,Totteridge,E05000059
1,Oakleigh,E05000058
1,Woodhouse,E05000063
1,Coppetts,E05000047
1,Brunswick Park,E05000043
1,East Barnet,E05000048
1,Burnt Oak,E05000044
1,Hendon,E05000055
1,West Finchley,E05000061
3,Streatham South,E05000431
3,St. Leonard's,E05000428
3,Streatham Wells,E05000432
1,Knight's Hill,E05000424
3,Thornton,E05000433
3,Streatham Hill,E05000430
3,Clapham Common,E05000418
3,Brixton Hill,E05000417
3,Tulse Hill,E05000435
