dens_pca_hcl_cluster,Ward,GSS
4,Chessington South,E05000405
2,Tolworth and Hook Rise,E05000414
1,Berrylands,E05000401
4,Alexandra,E05000400
4,Beverley,E05000402
4,Coombe Hill,E05000406
1,Chessington North and Hook,E05000404
1,Surbiton Hill,E05000413
1,Old Malden,E05000410
1,St. Mark's,E05000412
3,Grove,E05000408
1,Canbury,E05000403
1,Norbiton,E05000409
1,Coombe Vale,E05000407
2,St. James,E05000411
1,Tudor,E05000415
4,Coulsdon East,E05000150
4,Selsdon and Ballards,E05000162
4,Coulsdon West,E05000151
2,Waddon,E05000167
4,Kenley,E05000156
2,Purley,E05000159
4,Sanderstead,E05000160
4,Heathfield,E05000155
2,Fairfield,E05000153
2,Broad Green,E05000149
2,West Thornton,E05000168
2,Bensham Manor,E05000148
2,Norbury,E05000158
2,New Addington,E05000157
2,Croham,E05000152
2,Fieldway,E05000154
2,Shirley,E05000163
2,Selhurst,E05000161
2,Ashburton,E05000147
2,Woodside,E05000169
2,Thornton Heath,E05000165
2,Upper Norwood,E05000166
2,South Norwood,E05000164
2,Addiscombe,E05000146
4,Darwin,E05000117
4,Hayes and Coney Hall,E05000119
4,Bromley Common and Keston,E05000108
4,Chelsfield and Pratts Bottom,E05000110
4,Biggin Hill,E05000107
2,West Wickham,E05000127
2,Clock House,E05000112
2,Kelsey and Eden Park,E05000120
4,Farnborough and Crofton,E05000118
2,Shortlands,E05000126
2,Bromley Town,E05000109
2,Bickley,E05000106
2,Petts Wood and Knoll,E05000124
2,Crystal Palace,E05000116
2,Penge and Cator,E05000123
2,Copers Cope,E05000113
2,Plaistow and Sundridge,E05000125
4,Chislehurst,E05000111
2,Mottingham and Chislehurst North,E05000121
2,Orpington,E05000122
2,Cray Valley West,E05000115
4,Cray Valley East,E05000114
4,Bedfont,E05000346
4,Hanworth,E05000353
3,Cranford,E05000350
2,Syon,E05000364
4,Heston West,E05000357
1,Heston East,E05000356
4,Osterley and Spring Grove,E05000363
3,Brentford,E05000347
1,Chiswick Homefields,E05000348
4,Feltham West,E05000352
4,Hanworth Park,E05000354
4,Feltham North,E05000351
4,Hounslow Heath,E05000359
3,Hounslow West,E05000361
1,Heston Central,E05000355
3,Hounslow South,E05000360
1,Isleworth,E05000362
1,Hounslow Central,E05000358
1,Chiswick Riverside,E05000349
3,Turnham Green,E05000365
2,Norwood Green,E05000186
3,Southall Green,E05000190
2,Northolt West End,E05000185
2,Dormers Wells,E05000172
2,Greenford Broadway,E05000177
2,North Greenford,E05000183
2,Northfield,E05000182
2,East Acton,E05000175
2,Southall Broadway,E05000189
2,Elthorne,E05000176
1,Walpole,E05000192
0,Lady Margaret,E05000181
2,Northolt Mandeville,E05000184
2,Hobbayne,E05000180
2,Cleveland,E05000171
4,Greenford Green,E05000178
2,Perivale,E05000187
2,Ealing Common,E05000174
2,Ealing Broadway,E05000173
2,South Acton,E05000188
1,Southfield,E05000191
2,Acton Central,E05000170
2,Hanger Hill,E05000179
4,Upminster,E05000323
4,Rainham and Wennington,E05000318
4,South Hornchurch,E05000321
4,Elm Park,E05000308
4,Brooklands,E05000306
2,Romford Town,E05000319
4,Mawneys,E05000316
4,Pettits,E05000317
4,Hacton,E05000311
2,St. Andrew's,E05000320
4,Emerson Park,E05000309
2,Squirrel's Heath,E05000322
4,Harold Wood,E05000312
4,Cranham,E05000307
4,Havering Park,E05000313
4,Heaton,E05000314
4,Gooshays,E05000310
4,Hylands,E05000315
4,Heathrow Villages,E05000331
4,Harefield,E05000330
2,West Drayton,E05000342
2,Yiewsley,E05000345
2,Uxbridge South,E05000341
2,Brunel,E05000326
2,Uxbridge North,E05000340
4,Hillingdon East,E05000332
4,Ickenham,E05000333
2,West Ruislip,E05000343
4,Northwood,E05000335
4,South Ruislip,E05000338
3,Manor,E05000334
4,Eastcote and East Ruislip,E05000329
4,Northwood Hills,E05000336
2,Pinkwell,E05000337
4,Botwell,E05000325
4,Charville,E05000328
2,Townfield,E05000339
1,Barnhill,E05000324
2,Yeading,E05000344
2,Cavendish,E05000327
2,Roxeth,E05000302
4,Harrow on the Hill,E05000289
4,Pinner,E05000297
2,Pinner South,E05000298
3,Greenhill,E05000288
4,Headstone North,E05000292
3,Marlborough,E05000296
4,Harrow Weald,E05000290
4,Stanmore Park,E05000303
4,Canons,E05000286
3,Rayners Lane,E05000300
3,Roxbourne,E05000301
2,West Harrow,E05000305
4,Hatch End,E05000291
2,Headstone South,E05000293
4,Kenton West,E05000295
1,Wealdstone,E05000304
1,Belmont,E05000285
2,Kenton East,E05000294
3,Queensbury,E05000299
2,Edgware,E05000287
2,Northwick Park,E05000096
2,Wembley Central,E05000104
