dens_pca_kmeans_cluster,Ward,GSS
4,Chessington South,E05000405
1,Tolworth and Hook Rise,E05000414
1,Berrylands,E05000401
1,Alexandra,E05000400
1,Beverley,E05000402
4,Coombe Hill,E05000406
1,Chessington North and Hook,E05000404
1,Surbiton Hill,E05000413
1,Old Malden,E05000410
1,St. Mark's,E05000412
2,Grove,E05000408
1,Canbury,E05000403
1,Norbiton,E05000409
1,Coombe Vale,E05000407
1,St. James,E05000411
1,Tudor,E05000415
4,Coulsdon East,E05000150
4,Selsdon and Ballards,E05000162
4,Coulsdon West,E05000151
0,Waddon,E05000167
4,Kenley,E05000156
0,Purley,E05000159
4,Sanderstead,E05000160
4,Heathfield,E05000155
0,Fairfield,E05000153
0,Broad Green,E05000149
0,West Thornton,E05000168
0,Bensham Manor,E05000148
0,Norbury,E05000158
0,New Addington,E05000157
0,Croham,E05000152
0,Fieldway,E05000154
0,Shirley,E05000163
0,Selhurst,E05000161
0,Ashburton,E05000147
0,Woodside,E05000169
0,Thornton Heath,E05000165
0,Upper Norwood,E05000166
0,South Norwood,E05000164
0,Addiscombe,E05000146
4,Darwin,E05000117
4,Hayes and Coney Hall,E05000119
4,Bromley Common and Keston,E05000108
4,Chelsfield and Pratts Bottom,E05000110
4,Biggin Hill,E05000107
0,West Wickham,E05000127
0,Clock House,E05000112
0,Kelsey and Eden Park,E05000120
4,Farnborough and Crofton,E05000118
0,Shortlands,E05000126
0,Bromley Town,E05000109
0,Bickley,E05000106
0,Petts Wood and Knoll,E05000124
0,Crystal Palace,E05000116
0,Penge and Cator,E05000123
0,Copers Cope,E05000113
0,Plaistow and Sundridge,E05000125
4,Chislehurst,E05000111
0,Mottingham and Chislehurst North,E05000121
0,Orpington,E05000122
0,Cray Valley West,E05000115
4,Cray Valley East,E05000114
4,Bedfont,E05000346
1,Hanworth,E05000353
1,Cranford,E05000350
1,Syon,E05000364
0,Heston West,E05000357
1,Heston East,E05000356
4,Osterley and Spring Grove,E05000363
1,Brentford,E05000347
1,Chiswick Homefields,E05000348
0,Feltham West,E05000352
0,Hanworth Park,E05000354
0,Feltham North,E05000351
0,Hounslow Heath,E05000359
1,Hounslow West,E05000361
1,Heston Central,E05000355
2,Hounslow South,E05000360
1,Isleworth,E05000362
1,Hounslow Central,E05000358
1,Chiswick Riverside,E05000349
2,Turnham Green,E05000365
0,Norwood Green,E05000186
0,Southall Green,E05000190
0,Northolt West End,E05000185
0,Dormers Wells,E05000172
0,Greenford Broadway,E05000177
0,North Greenford,E05000183
0,Northfield,E05000182
0,East Acton,E05000175
0,Southall Broadway,E05000189
0,Elthorne,E05000176
0,Walpole,E05000192
3,Lady Margaret,E05000181
0,Northolt Mandeville,E05000184
0,Hobbayne,E05000180
0,Cleveland,E05000171
0,Greenford Green,E05000178
0,Perivale,E05000187
0,Ealing Common,E05000174
0,Ealing Broadway,E05000173
0,South Acton,E05000188
2,Southfield,E05000191
0,Acton Central,E05000170
0,Hanger Hill,E05000179
4,Upminster,E05000323
4,Rainham and Wennington,E05000318
4,South Hornchurch,E05000321
4,Elm Park,E05000308
4,Brooklands,E05000306
0,Romford Town,E05000319
0,Mawneys,E05000316
0,Pettits,E05000317
0,Hacton,E05000311
0,St. Andrew's,E05000320
4,Emerson Park,E05000309
0,Squirrel's Heath,E05000322
4,Harold Wood,E05000312
4,Cranham,E05000307
4,Havering Park,E05000313
0,Heaton,E05000314
4,Gooshays,E05000310
0,Hylands,E05000315
4,Heathrow Villages,E05000331
4,Harefield,E05000330
0,West Drayton,E05000342
0,Yiewsley,E05000345
0,Uxbridge South,E05000341
0,Brunel,E05000326
0,Uxbridge North,E05000340
0,Hillingdon East,E05000332
4,Ickenham,E05000333
4,West Ruislip,E05000343
4,Northwood,E05000335
4,South Ruislip,E05000338
1,Manor,E05000334
4,Eastcote and East Ruislip,E05000329
0,Northwood Hills,E05000336
0,Pinkwell,E05000337
0,Botwell,E05000325
0,Charville,E05000328
0,Townfield,E05000339
0,Barnhill,E05000324
1,Yeading,E05000344
0,Cavendish,E05000327
0,Roxeth,E05000302
0,Harrow on the Hill,E05000289
0,Pinner,E05000297
0,Pinner South,E05000298
2,Greenhill,E05000288
0,Headstone North,E05000292
0,Marlborough,E05000296
4,Harrow Weald,E05000290
0,Stanmore Park,E05000303
4,Canons,E05000286
2,Rayners Lane,E05000300
2,Roxbourne,E05000301
0,West Harrow,E05000305
0,Hatch End,E05000291
0,Headstone South,E05000293
0,Kenton West,E05000295
0,Wealdstone,E05000304
0,Belmont,E05000285
0,Kenton East,E05000294
0,Queensbury,E05000299
0,Edgware,E05000287
0,Northwick Park,E05000096
0,Wembley Central,E05000104
0,Preston,E05000097
0,Stonebridge,E05000100
0,Welsh Harp,E05000103
0,Barnhill,E05000086
0,Fryent,E05000090
0,Sudbury,E05000101
0,Alperton,E05000085
0,Kensal Green,E05000092
0,Harlesden,E05000091
0,Willesden Green,E05000105
0,Queens Park,E05000098
0,Brondesbury Park,E05000087
0,Kilburn,E05000094
